"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Age_d"
1,"0","3","male",22,1,0,7.25,"S","Adulto"
2,"1","1","female",38,1,0,71.2833,"C","Adulto"
3,"1","3","female",26,0,0,7.925,"S","Adulto"
4,"1","1","female",35,1,0,53.1,"S","Adulto"
5,"0","3","male",35,0,0,8.05,"S","Adulto"
6,"0","3","male",25,0,0,8.4583,"Q","Adulto"
7,"0","1","male",54,0,0,51.8625,"S","Adulto"
8,"0","3","male",2,3,1,21.075,"S","Niño"
9,"1","3","female",27,0,2,11.1333,"S","Adulto"
10,"1","2","female",14,1,0,30.0708,"C","Niño"
11,"1","3","female",4,1,1,16.7,"S","Niño"
12,"1","1","female",58,0,0,26.55,"S","Adulto"
13,"0","3","male",20,0,0,8.05,"S","Adulto"
14,"0","3","male",39,1,5,31.275,"S","Adulto"
15,"0","3","female",14,0,0,7.8542,"S","Niño"
16,"1","2","female",55,0,0,16,"S","Adulto"
17,"0","3","male",2,4,1,29.125,"Q","Niño"
18,"1","2","male",30,0,0,13,"S","Adulto"
19,"0","3","female",31,1,0,18,"S","Adulto"
20,"1","3","female",21.5,0,0,7.225,"C","Adulto"
21,"0","2","male",35,0,0,26,"S","Adulto"
22,"1","2","male",34,0,0,13,"S","Adulto"
23,"1","3","female",15,0,0,8.0292,"Q","Niño"
24,"1","1","male",28,0,0,35.5,"S","Adulto"
25,"0","3","female",8,3,1,21.075,"S","Niño"
26,"1","3","female",38,1,5,31.3875,"S","Adulto"
27,"0","3","male",25,0,0,7.225,"C","Adulto"
28,"0","1","male",19,3,2,263,"S","Adulto"
29,"1","3","female",21.5,0,0,7.8792,"Q","Adulto"
30,"0","3","male",25,0,0,7.8958,"S","Adulto"
31,"0","1","male",40,0,0,27.7208,"C","Adulto"
32,"1","1","female",35,1,0,146.5208,"C","Adulto"
33,"1","3","female",21.5,0,0,7.75,"Q","Adulto"
34,"0","2","male",66,0,0,10.5,"S","Anciano"
35,"0","1","male",28,1,0,82.1708,"C","Adulto"
36,"0","1","male",42,1,0,52,"S","Adulto"
37,"1","3","male",25,0,0,7.2292,"C","Adulto"
38,"0","3","male",21,0,0,8.05,"S","Adulto"
39,"0","3","female",18,2,0,18,"S","Adulto"
40,"1","3","female",14,1,0,11.2417,"C","Niño"
41,"0","3","female",40,1,0,9.475,"S","Adulto"
42,"0","2","female",27,1,0,21,"S","Adulto"
43,"0","3","male",25,0,0,7.8958,"C","Adulto"
44,"1","2","female",3,1,2,41.5792,"C","Niño"
45,"1","3","female",19,0,0,7.8792,"Q","Adulto"
46,"0","3","male",25,0,0,8.05,"S","Adulto"
47,"0","3","male",25,1,0,15.5,"Q","Adulto"
48,"1","3","female",21.5,0,0,7.75,"Q","Adulto"
49,"0","3","male",25,2,0,21.6792,"C","Adulto"
50,"0","3","female",18,1,0,17.8,"S","Adulto"
51,"0","3","male",7,4,1,39.6875,"S","Niño"
52,"0","3","male",21,0,0,7.8,"S","Adulto"
53,"1","1","female",49,1,0,76.7292,"C","Adulto"
54,"1","2","female",29,1,0,26,"S","Adulto"
55,"0","1","male",65,0,1,61.9792,"C","Anciano"
56,"1","1","male",40,0,0,35.5,"S","Adulto"
57,"1","2","female",21,0,0,10.5,"S","Adulto"
58,"0","3","male",28.5,0,0,7.2292,"C","Adulto"
59,"1","2","female",5,1,2,27.75,"S","Niño"
60,"0","3","male",11,5,2,46.9,"S","Niño"
61,"0","3","male",22,0,0,7.2292,"C","Adulto"
62,"1","1","female",38,0,0,80,"S","Adulto"
63,"0","1","male",45,1,0,83.475,"S","Adulto"
64,"0","3","male",4,3,2,27.9,"S","Niño"
65,"0","1","male",40,0,0,27.7208,"C","Adulto"
66,"1","3","male",25,1,1,15.2458,"C","Adulto"
67,"1","2","female",29,0,0,10.5,"S","Adulto"
68,"0","3","male",19,0,0,8.1583,"S","Adulto"
69,"1","3","female",17,4,2,7.925,"S","Niño"
70,"0","3","male",26,2,0,8.6625,"S","Adulto"
71,"0","2","male",32,0,0,10.5,"S","Adulto"
72,"0","3","female",16,5,2,46.9,"S","Niño"
73,"0","2","male",21,0,0,73.5,"S","Adulto"
74,"0","3","male",26,1,0,14.4542,"C","Adulto"
75,"1","3","male",32,0,0,56.4958,"S","Adulto"
76,"0","3","male",25,0,0,7.65,"S","Adulto"
77,"0","3","male",25,0,0,7.8958,"S","Adulto"
78,"0","3","male",25,0,0,8.05,"S","Adulto"
79,"1","2","male",0.83,0,2,29,"S","Niño"
80,"1","3","female",30,0,0,12.475,"S","Adulto"
81,"0","3","male",22,0,0,9,"S","Adulto"
82,"1","3","male",29,0,0,9.5,"S","Adulto"
83,"1","3","female",21.5,0,0,7.7875,"Q","Adulto"
84,"0","1","male",28,0,0,47.1,"S","Adulto"
85,"1","2","female",17,0,0,10.5,"S","Niño"
86,"1","3","female",33,3,0,15.85,"S","Adulto"
87,"0","3","male",16,1,3,34.375,"S","Niño"
88,"0","3","male",25,0,0,8.05,"S","Adulto"
